dataset_source,text,answer_key
SciQ,"Question: When atoms gain or lose electrons, they can form electrically charged particles called what?

A. eons
B. toxins
C. crystals
D. ions

Answer: D",D
SciQ,"Question: What control reproductive cycles, which are in turn regulated by environmental cues?

A. nerve impulses
B. hormones
C. brain waves
D. enzymes

Answer: B",B
SciQ,"Question: Wich disorder arises when defective valves allow blood to accumulate within the veins?

A. vascular disease
B. varicose veins
C. bulging veins
D. cataracts veins

Answer: B",B
SciQ,"Question: Because core electrons are closer to the nucleus, they are not involved in what?

A. splitting
B. bonding
C. fission
D. diffusion

Answer: B",B
SciQ,"Question: ""endocrine"" and ""exocrine"" are two types of what?

A. organs
B. cells
C. fluids
D. glands

Answer: D",D
SciQ,"Question: What is the term for changes in speed or direction, changes that make a roller coaster ride so exciting?

A. transmission
B. inclination
C. oscillation
D. acceleration

Answer: D",D
SciQ,"Question: Graphite and diamond both are made from carbon. what makes diamonds so hard?

A. weak atomic network
B. strong atomic network
C. strong metallic network
D. strong light network

Answer: B",B
SciQ,"Question: When does most amphibians' parenting end?

A. once eggs have been laid
B. never
C. once offspring reach adulthood
D. after adolescence

Answer: A",A
SciQ,"Question: In an exothermic reaction, what, specifically, is released?

A. humidity
B. water
C. heat
D. precipitation

Answer: C",C
SciQ,"Question: What was the first antiseptic called?

A. gasoline
B. chlorine
C. phenol
D. acid

Answer: C",C
SciQ,"Question: How do the vast majority of fish reproduce?

A. cloning
B. asexually
C. by budding
D. sexually

Answer: D",D
SciQ,"Question: What mammalian class has the greatest ability to learn?

A. rats
B. reptiles
C. apes
D. humans

Answer: D",D
SciQ,"Question: Muscles that move what long bone originate on the pelvic girdle?

A. femur
B. tibia
C. sacrum
D. patella

Answer: A",A
SciQ,"Question: Action potentials occur whenever a depolarization increases the membrane voltage to a particular value called what?

A. velocity
B. ohms
C. fraction
D. threshold

Answer: D",D
SciQ,"Question: What are the only living organisms that can make their own food?

A. animals
B. protozoa
C. plants
D. bacteria

Answer: C",C
SciQ,"Question: What lizards can change colors based on the color of their surroundings?

A. skink
B. geckos
C. Monitor
D. chameleons

Answer: D",D
SciQ,"Question: What term is used to describe a cross between two individuals that have different traits?

A. hybridization
B. fraternization
C. purebreed
D. assimilation

Answer: A",A
SciQ,"Question: Alveolar ducts and broncioles are developing parts of what organ system?

A. digestive
B. nervous
C. respiratory
D. immune

Answer: C",C
SciQ,"Question: An enzyme is an organic catalyst produced by what?

A. living cell
B. amino acid
C. DNA
D. the liver

Answer: A",A
SciQ,"Question: What are the parts used in electronic devices such as computers called?

A. chargers
B. digital components
C. batteries
D. electronic components

Answer: D",D
SciQ,"Question: Aids is an infectious disease of which system?

A. muscular
B. endocrine
C. digestion
D. immune

Answer: D",D
SciQ,"Question: The vertebrate endoskeleton is made of bone and what tough, flexible tissue?

A. cartilage
B. synovial tissue
C. cuticle
D. collagen

Answer: A",A
